Piece	Kanji	Rōmaji	Promotes to	Kanji	Rōmaji
King	玉将	gyokushō	—		
Prince	太子	taishi	King	玉将	gyokushō
Great general	大将	taishō	—		
Gold general	金将	kinshō	Rook	飛車	hisha
Right general	右将	ushō	*Right army	右軍	ugun
Left general	左将	sashō	*Left army	左軍	sagun
Rear standard	後旗	kōki	Center standard	中旗	chūki
Queen	奔王	honnō	Great general	大将	taishō
Free dream-eater	奔獏	honbaku	Queen	奔王	honnō
Wooden dove	鳩槃	kyūhan	—		
Ceramic dove	鳩盤	kyūban	—		
Earth dragon	地龍	chiryū	Rain dragon	雨龍	uryū
Free demon	奔鬼	honki	Queen	奔王	honnō
Running horse	走馬	sōma, sōba	Free demon	奔鬼	honki
Beast cadet	獣曹	jūsō	Beast officer	獣吏	jūri
Long-nosed goblin	天狗	tengu	—		
Right mountain eagle	右山鷲	usanshū	Soaring eagle	飛鷲	hijū
Left mountain eagle	左山鷲	sasanshū	Soaring eagle	飛鷲	hijū
Fire demon	火鬼	kaki	*Free fire	奔火	honka
Whale	鯨鯢	keigei	*Great whale	大鯨	daigei
Running rabbit	走兎	sōto	Treacherous fox	隠狐	inko, onko
White tiger	白虎	byakko	*Divine tiger	神虎	shinko
Turtle-snake	玄武	genbu	*Divine turtle	神亀	shinki
Lance	香車	kyōsha	White horse	白駒	hakku
Reverse chariot	反車	hensha	Whale	鯨鯢	keigei
Fragrant elephant	香象	kōzō	*Elephant king	象王	zōō
White elephant	白象	hakuzō	*Elephant king	象王	zōō
Turtle dove	山鳩	sankyū	Great dove	大鳩	daikyū
Flying swallow	飛燕	hien	Rook	飛車	hisha
Captive officer	禽吏	kinri	*Captive bird	禽鳥	kinchō
Rain dragon	雨龍	uryū	Great dragon	大龍	dairyū
Forest demon	森鬼	shinki	*Thunder runner	雷走	raisō
Mountain stag	山鹿	sanroku	Great stag	大鹿	dairoku
Running pup	走狗	sōku	*Free leopard	奔豹	honpyō
Running serpent	走蛇	sōja	*Free serpent	奔蛇	honja
Side serpent	横蛇	ōja	*Great shark	大鱗	dairin
Great dove	大鳩	daikyū	Wooden dove	鳩槃	kyūhan
Running tiger	走虎	sōko	*Free tiger	奔虎	honko
Running bear	走熊	sōyū	*Free bear	奔熊	hon'yū
Yaksha	夜叉	yasha	*Heavenly tetrarch	四天	shiten
Buddhist devil	羅刹	rasetsu	*Heavenly tetrarch	四天	shiten
Guardian of the gods	金剛	kongō	*Heavenly tetrarch	四天	shiten
Wrestler	力士	rikishi	*Heavenly tetrarch	四天	shiten
Silver general	銀将	ginshō	Vertical mover	竪行	shugyō
Drunken elephant	酔象	suizō	Prince	太子	taishi
Neighboring king	近王	kinnō	Front standard	前旗	zenki
Gold chariot	金車	kinsha	*Playful cockatoo	遊䳇	yūmo
Side dragon	横龍	ōryū	*Running dragon	走龍	sōryū
Running stag	走鹿	sōroku	*Free stag	奔鹿	honroku
Running wolf	走狼	sōrō	*Free wolf	奔狼	honrō
Bishop general	角将	kakushō	*Rain demon	霖鬼	rinki
Rook general	飛将	hishō	*Flying crocodile	飛鰐	higaku
Right tiger	右虎	uko	White tiger	白虎	byakko
Left tiger	左虎	sako	Turtle-snake	玄武	genbu
Right dragon	右龍	uryū	Blue dragon	青龍	seiryū
Left dragon	左龍	saryū	Vermillion sparrow	朱雀	suzaku
Beast officer	獣吏	jūri	*Beast bird	獣鳥	jūchō
Wind dragon	風龍	fūryū	*Free dragon	奔龍	honryū
Free pup	奔狗	honku	*Free dog	奔犬	honken
Rushing bird	行鳥	gyōchō	Free demon	奔鬼	honki
Old kite	古鵄	kotetsu	Long-nosed goblin	天狗	tengu
Peacock	孔雀	kujaku	Long-nosed goblin	天狗	tengu
Water dragon	水龍	suiryū	Phoenix-master	鳳師	hōshi
Fire dragon	火龍	karyū	Kirin-master	麟師	rinshi
Copper general	銅将	dōshō	Side mover	横行	ōgyō
Phoenix-master	鳳師	hōshi	—		
Kirin-master	麟師	rinshi	—		
Silver chariot	銀車	ginsha	*Goose wing	鴻翼	kōyoko
Vertical bear	竪熊	shuyū	*Free bear	奔熊	hon'yū
Knight	桂馬	keima	Side soldier	横兵	ōhei
Pig general	豚将	tonshō	*Free pig	奔豚	honton
Chicken general	鶏将	keishō	*Free chicken	奔鶏	honkei
Pup general	狗将	kushō	Free pup	奔狗	honku
Horse general	馬将	bashō	*Free horse	奔馬	honba
Ox general	牛将	gyūshō	*Free ox	奔牛	hongyū
Center standard	中旗	chūki	Front standard	前旗	zenki
Side boar	横猪	ōcho	*Free boar	奔猪	honcho
Silver rabbit	銀兎	ginto	Whale	鯨鯢	keigei
Golden deer	金鹿	konroku	White horse	白駒	hakku
Lion	獅子	shishi	*Furious fiend	奮迅	funjin
Captive cadet	禽曹	kinsō	Captive officer	禽吏	kinri
Great stag	大鹿	dairoku	*Free stag	奔鹿	honroku
Violent dragon	猛龍	mōryū	Great dragon	大龍	dairyū
Woodland demon	林鬼	rinki	*Right phoenix[2]	右鵰	ushū
Vice general	副将	fukushō	Great general	大将	taishō
Stone chariot	石車	sekisha	*Walking heron	歩䳲	fushin
Cloud eagle	雲鷲	unjū	*Strong eagle	勁鷲	keijū
Bishop	角行	kakugyō	Dragon horse	龍馬	ryūme
Rook	飛車	hisha	Dragon king	龍王	ryūō
Side wolf	横狼	ōrō	*Free wolf	奔狼	honrō
Flying cat	飛猫	hibyō	Rook	飛車	hisha
Mountain falcon	山鷹	san'ō	Horned falcon	角鷹	kakuō
Vertical tiger	竪虎	shuko	*Free tiger	奔虎	honko
Soldier	兵士	heishi	*Cavalier	騎士	kishi
Little standard	小旗	shōki	Rear standard	後旗	kōki
Cloud dragon	雲龍	unryū	Great dragon	大龍	dairyū
Copper chariot	銅車	dōsha	*Copper elephant	銅象	dōzō
Running chariot	走車	sōsha	*Burning chariot	炮車	hōsha
Ram's-head soldier	羊兵	yōhei	*Tiger soldier	虎兵	kohei
Violent ox	猛牛	mōgyū	Flying ox	飛牛	higyū
Great dragon	大龍	dairyū	*Ancient dragon	元龍	genryū, ganryū
Golden bird	金翅	kinshi	*Free bird	奔翅	honshi
Dark spirit	無明	mumyō	*Buddhist spirit	法性	hōsei
Deva	提婆	daiba	*Teaching king	教王	kyōō
Wood chariot	木車	mokusha	*Wind snapping turtle	風鼈	fūbetsu
White horse	白駒	hakku	*Great horse	大駒	daiku
howling dog	𠵇犬	kiken	*Left dog	左犬	saken, uken
howling dog	𠵇犬	kiken	*Right dog	右犬	saken, uken
Side mover	横行	ōgyō	*Free boar	奔猪	honcho
Prancing stag	踊鹿	yōroku	Square-mover	方行	hōgyō
Water buffalo	水牛	suigyū	*Great dream-eater	大獏	daibaku
Ferocious leopard	猛豹	mōhyō	Bishop	角行	kakugyō
Fierce eagle	猛鷲	mōjū	Soaring eagle	飛鷲	hijū
Flying dragon	飛龍	hiryū	Dragon king	龍王	ryūō
Poisonous snake	毒蛇	dokuja	Hook-mover	鉤行	kōgyō
Flying goose	鳫飛	ganhi	Swallow's wings	燕羽	en'u
Strutting crow	烏行	ukō	*Flying falcon	飛鷹	hiyō
Blind dog	盲犬	mōken	Violent stag	猛鹿	mōroku
Water general	水将	suishō	Vice general	副将	fukushō
Fire general	火将	kashō	Great general	大将	taishō
Phoenix	鳳凰	hōō	Golden bird	金翅	kinshi
Kirin	麒麟	kirin	Golden bird	金翅	kinshi
Hook-mover	鉤行	kōgyō	—		
Little turtle	小亀	shōki	*Treasure turtle	宝亀	hōki
Great turtle	大亀	daiki	*Spirit turtle	霊亀	reiki
Capricorn	摩羯	makatsu	Hook-mover	鉤行	kōgyō
Tile chariot	瓦車	gasha	*Running tile	走瓦	sōga
Vertical wolf	竪狼	shurō	Running wolf	走狼	sōrō
Side ox	横牛	ōgyū	Flying ox	飛牛	higyū
Donkey	驢馬	roba	Ceramic dove	鳩盤	kyūban
Flying horse	馬麟	barin	Queen	奔王	honnō
Violent bear	猛熊	mōyū	*Great bear	大熊	daiyū
Angry boar	嗔猪	shincho	*Free boar	奔猪	honcho
Evil wolf	悪狼	akurō	*Venomous wolf	毒狼	dokurō
Liberated horse	風馬	fūma	*Heavenly horse	天馬	temma
Flying cock	鶏飛	keihi	*Raiding falcon	延鷹	en'yō
Old monkey	古猿	koen	*Mountain witch	山母	sanbo
Chinese cock	淮鶏	waikei	*Wizard stork	仙⿱而鷦	senkaku
Northern barbarian	北狄	hokuteki	Wooden dove	鳩槃	kyūhan
Southern barbarian	南蛮	nanban	Golden bird	金翅	kinshi
Western barbarian	西戎	seijū	Lion dog	狛犬	komainu
Eastern barbarian	東夷	tōi	Lion	獅子	shishi
Violent stag	猛鹿	mōroku	*Rushing boar	行猪	gyōcho
Violent wolf	猛狼	mōrō	*Bear's eyes	熊眼	yūgan
Treacherous fox	隠狐	inko, onko	*Mountain crane	山鶻	sankotsu
Center master	中師	chūshi	—		
Roc-master	鵬師	hōshi	—		
Earth chariot	土車	dosha	*Young bird	𦬨鳥	shakuchō
Vermillion sparrow	朱雀	suzaku	*Divine sparrow	神雀	shinjaku
Blue dragon	青龍	seiryū	*Divine dragon	神龍	shinryū
Enchanted badger	変狸	henri	Ceramic dove	鳩盤	kyūban
Horseman	騎兵	kihei	*Cavalier	騎士	kishi
Swooping owl	鴟行	shigyō	Cloud eagle	雲鷲	unjū
Climbing monkey	登猿	tōen	Violent stag	猛鹿	mōroku
Cat sword	猫刄	myōjin	Dragon horse	龍馬	ryūme
Swallow's wings	燕羽	en'u	*Gliding swallow	燕行	engyō
Blind monkey	盲猿	mōen	*Flying stag	飛鹿	hiroku
Blind tiger	盲虎	mōko	*Flying stag	飛鹿	hiroku
Oxcart	牛車	gissha	*Plodding ox	歬牛	sengyū
Side-flyer	横飛	ōhi	Side dragon	横龍	ōryū
Blind bear	盲熊	mōyū	*Flying stag	飛鹿	hiroku
Old rat	老鼠	rōso	*Bird of paradise	時鳥	jichō
Square-mover	方行	hōgyō	*Strong chariot	強車	kyōsha
Coiled serpent	蟠蛇	banja	*Coiled dragon	蟠龍	banryū
Reclining dragon	臥龍	garyū	Great dragon	大龍	dairyū
Free eagle	奔鷲	honjū	—		
Lion hawk	獅鷹	shiō	—		
Chariot soldier	車兵	shahei	*Heavenly tetrarch	四天王	shitennō
Side soldier	横兵	ōhei	Water buffalo	水牛	suigyū
Vertical soldier	竪兵	shuhei	Chariot soldier	車兵	shahei
Wind general	風将	fūshō	*Violent wind	暴風	bōfū
River general	川将	senshō	*Chinese river	淮川	waisen
Mountain general	山将	sanshō	*Peaceful mountain	泰山	taizan
Front standard	前旗	zenki	Great standard	大旗	daiki
Horse soldier	馬兵	bahei	Running horse	走馬	sōma, sōba
Wood general	木将	mokushō	White elephant	白象	hakuzō
Ox soldier	牛兵	gyūhei	*Running ox	走牛	sōgyū
Earth general	土将	doshō	White elephant	白象	hakuzō
Boar soldier	猪兵	chohei	*Running boar	走猪	sōcho
Stone general	石将	sekishō	White elephant	白象	hakuzō
Leopard soldier	豹兵	hyōhei	*Running leopard	走豹	sōhyō
Tile general	瓦将	gashō	White elephant	白象	hakuzō
Bear soldier	熊兵	yūhei	*Strong bear	強熊	kyōyū
Iron general	鉄将	tesshō	White elephant	白象	hakuzō
Great standard	大旗	daiki	—		
Great master	大師	daishi	—		
Right chariot	右車	usha	*Right iron chariot	右鉄車	utessha
Left chariot	左車	sasha	*Left iron chariot	左鉄車	satessha
Side monkey	横猿	ōen	Side soldier	横兵	ōhei
Vertical mover	竪行	shugyō	Flying ox	飛牛	higyū
Flying ox	飛牛	higyū	*Fire ox	火牛	kagyū
Longbow soldier	弩兵	dohei	*Longbow general	弩将	doshō
Vertical pup	竪狗	shuku	*Leopard king	豹王	hyōō
Vertical horse	竪馬	shuba	Dragon horse	龍馬	ryūme
Burning soldier	炮兵	hōhei	*Burning general	炮将	hōshō
Dragon horse	龍馬	ryūme	Horned falcon	角鷹	kakuō
Dragon king	龍王	ryūō	Soaring eagle	飛鷲	hijū
Sword soldier	刀兵	tōhei	*Sword general	刀将	tōshō
Horned falcon	角鷹	kakuō	*Great falcon	大鷹	daiō
Soaring eagle	飛鷲	hijū	*Great eagle	大鷲	daijū
Spear soldier	鎗兵	sōhei	*Spear general	鎗将	sōshō
Vertical leopard	竪豹	shuhyō	*Great leopard	大豹	daihyō
Savage tiger	猛虎	mōko	*Great tiger	大虎	daiko
Crossbow soldier	弓兵	kyūhei	*Crossbow general	弓将	kyūshō
Roaring dog	吼犬	kōken	Lion dog	狛犬	komainu
Lion dog	狛犬	komainu	*Great elephant	大象	taizō
Dog	犬	inu	*Multi-general	雜将	suishō
Go between	仲人	chūnin	Drunken elephant	酔象	suizō
Pawn	歩兵	fuhyō	Gold general	金将	kinshō
